
                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
             R2021a Update 1 (9.10.0.1649659) 64-bit (glnxa64)
                               April 13, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Datastore creation...
Network creation...
Training...
[Warning: Support for GPU devices with Compute Capability 5.2 will be removed in
a future MATLAB release. For more information on GPU support, see <a
href="matlab:web('http://www.mathworks.com/help/parallel-computing/gpu-support-by-release.html','-browser')">GPU
Support by Release</a>.] 
[> In parallel.internal.gpu.selectDevice
In parallel.gpu/GPUDevice/current (line 44)
In gpuDevice (line 23)
In nnet.internal.cnn.util.isGPUCompatible (line 10)
In nnet.internal.cnn.util.GPUShouldBeUsed>iCheckLocalGPU (line 51)
In nnet.internal.cnn.util.GPUShouldBeUsed>iValidateGPU (line 85)
In nnet.internal.cnn.util.GPUShouldBeUsed (line 34)
In nnet.internal.cnn.assembler.setupExecutionEnvironment (line 32)
In nnet.internal.cnn.trainNetwork.doTrainNetwork (line 22)
In trainNetwork (line 182)
In fullUNet_image_reconstruction (line 181)
In run (line 91)] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:49 |        72.52 |        70.83 |    2629.2793 |    2508.2612 |          0.1000 |
|       1 |           5 |       00:01:37 |        68.03 |        65.07 |    2314.0713 |    2116.9897 |          0.1000 |
|       1 |          10 |       00:02:25 |        56.46 |        55.89 |    1594.0592 |    1561.7998 |          0.1000 |
|       1 |          15 |       00:03:12 |        48.09 |        46.85 |    1156.2217 |    1097.3972 |          0.1000 |
|       1 |          20 |       00:04:01 |        43.33 |        42.84 |     938.5908 |     917.8339 |          0.1000 |
|       1 |          25 |       00:04:49 |        41.31 |        40.57 |     853.2814 |     823.1439 |          0.1000 |
|       1 |          30 |       00:05:38 |        38.86 |        38.02 |     755.2183 |     722.8378 |          0.1000 |
|       1 |          35 |       00:06:27 |        38.03 |        36.06 |     723.3193 |     650.2040 |          0.1000 |
|       1 |          40 |       00:07:15 |        34.70 |        34.62 |     602.0067 |     599.2757 |          0.1000 |
|       1 |          45 |       00:08:04 |        32.42 |        32.08 |     525.4766 |     514.4865 |          0.1000 |
|       1 |          50 |       00:08:52 |        30.99 |        29.85 |     480.0713 |     445.5950 |          0.1000 |
|       1 |          55 |       00:09:40 |        29.03 |        27.90 |     421.3767 |     389.2853 |          0.1000 |
