
                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
             R2021a Update 1 (9.10.0.1649659) 64-bit (glnxa64)
                               April 13, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Datastore creation...
Network creation...
Training...
[Warning: Support for GPU devices with Compute Capability 5.2 will be removed in
a future MATLAB release. For more information on GPU support, see <a
href="matlab:web('http://www.mathworks.com/help/parallel-computing/gpu-support-by-release.html','-browser')">GPU
Support by Release</a>.] 
[> In parallel.internal.gpu.selectDevice
In parallel.gpu/GPUDevice/current (line 44)
In gpuDevice (line 23)
In nnet.internal.cnn.util.isGPUCompatible (line 10)
In nnet.internal.cnn.util.GPUShouldBeUsed>iCheckLocalGPU (line 51)
In nnet.internal.cnn.util.GPUShouldBeUsed>iValidateGPU (line 85)
In nnet.internal.cnn.util.GPUShouldBeUsed (line 34)
In nnet.internal.cnn.assembler.setupExecutionEnvironment (line 32)
In nnet.internal.cnn.trainNetwork.doTrainNetwork (line 22)
In trainNetwork (line 182)
In fullUNet_image_reconstruction (line 181)
In run (line 91)] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:50 |        60.36 |        62.92 |    1821.7305 |    1979.1528 |          0.1000 |
|       1 |           5 |       00:01:40 |        60.44 |        58.02 |    1826.4072 |    1683.2196 |          0.1000 |
|       1 |          10 |       00:02:30 |        48.04 |        48.41 |    1154.0042 |    1171.8834 |          0.1000 |
|       1 |          15 |       00:03:21 |        45.32 |        42.32 |    1027.0168 |     895.3390 |          0.1000 |
|       1 |          20 |       00:04:12 |        36.59 |        37.34 |     669.2611 |     697.1308 |          0.1000 |
|       1 |          25 |       00:05:02 |        34.35 |        33.21 |     589.8332 |     551.4337 |          0.1000 |
|       1 |          30 |       00:05:52 |        32.08 |        31.53 |     514.4374 |     497.0231 |          0.1000 |
|       1 |          35 |       00:06:44 |        29.43 |        28.93 |     433.0895 |     418.5780 |          0.1000 |
|       1 |          40 |       00:07:36 |        26.56 |        26.54 |     352.7979 |     352.2179 |          0.1000 |
|       1 |          45 |       00:08:26 |        25.51 |        24.76 |     325.4973 |     306.4922 |          0.1000 |
|       1 |          50 |       00:09:17 |        23.97 |        23.12 |     287.2693 |     267.3234 |          0.1000 |
|       1 |          55 |       00:10:08 |        22.32 |        22.19 |     249.1714 |     246.2491 |          0.1000 |
